% Point Number, Decimal Latitude, Decimal Longitude
 556, 48.2223, -9.3313
 557, 48.2521, -9.2811
 558, 48.2749, -9.2479
 559, 48.2521, -9.2062
 560, 48.2305, -9.1646
 561, 48.2373, -9.0813
 562, 48.2065, -8.9979
 563, 48.2167, -8.9146
 564, 48.1687, -8.8462
 565, 48.1607, -8.8313
 566, 48.1687, -8.7554
 567, 48.1709, -8.7479
 568, 48.1687, -8.7453
 569, 48.0854, -8.6669
 570, 48.0832, -8.6646
 571, 48.0854, -8.6485
 572, 48.0957, -8.5813
 573, 48.0854, -8.5548
 574, 48.0704, -8.4979
 575, 48.0854, -8.4810
 576, 48.1382, -8.4146
 577, 48.1333, -8.3313
 578, 48.1431, -8.2479
 579, 48.0854, -8.2195
 580, 48.0083, -8.1646
 581, 48.0021, -8.1554
 582, 48.0021,  9.2906
 583, 50.1350,  9.2906
 584, 52.6572, 10.2186
 585, 53.7993, 10.3542
 586, 54.3228,  9.4262
 587, 54.9415,  9.1169
 588, 55.4412,  9.0455
 589, 55.6797,  9.3294
 590, 55.6027,  9.5811
 591, 55.5356,  9.7086
 592, 55.5372,  9.7084
 593, 55.5221,  9.7402
 594, 55.3917, 10.0105
 595, 55.3105, 10.3123
 596, 55.3423, 10.5612
 597, 55.3758, 10.6741
 598, 55.3896, 10.7612
 599, 55.3906, 11.2160
 600, 55.4017, 11.2606
 601, 55.4670, 11.8902
 602, 55.6312, 12.2055
 603, 55.8786, 12.3411
 604, 56.0095, 12.4922
 605, 56.0448, 12.6133
 606, 56.0545, 12.6860
 607, 56.0849, 12.7390
 608, 56.3581, 13.7362
 609, 59.1659, 13.9027
 610, 61.3788, 12.7606
 611, 62.8107, 12.7606
 612, 62.8107,  4.2521
